Date;Residence;Ouvertures;Clotures
"31-08-2020";"Résident";"2330";"2877"
"30-11-2016";"Résident";"2249";"2087"
"30-04-2019";"Non-résident CTR";"30";"17"
"31-01-2014";"Résident";"2833";"2150"
"30-04-2024";"Non-résident sans statut particulier";"595";"610"
"30-06-2022";"Résident";"2087";"2339"
"31-01-2023";"Non-résident CTR";"64";"33"
"31-03-2019";"Non-résident sans statut particulier";"588";"425"
"30-06-2016";"Non-résident CTR";"30";"12"
"30-09-2019";"Non-résident sans statut particulier";"569";"445"
"31-01-2016";"Non-résident sans statut particulier";"234";"170"
"31-01-2021";"Résident";"2696";"2094"
"30-11-2022";"Résident";"2619";"2328"
"31-12-2023";"Non-résident sans statut particulier";"434";"498"
"31-07-2014";"Non-résident sans statut particulier";"86";"64"
"31-05-2018";"Non-résident CTR";"42";"12"
"31-10-2018";"Non-résident CTR";"29";"21"
"30-11-2015";"Résident";"2198";"2040"
"31-07-2021";"Résident";"2167";"2572"
"31-12-2017";"Non-résident CTR";"42";"21"
"31-12-2021";"Résident";"2256";"2373"
"28-02-2014";"Non-résident CTR";"28";"2"
"31-05-2015";"Résident";"1606";"2275"
"31-01-2017";"Non-résident CTR";"49";"15"
"30-04-2017";"Résident";"1618";"2205"
"31-12-2014";"Résident";"2097";"1914"
"31-12-2024";"Non-résident CTR";"96";"34"
"30-04-2023";"Résident";"2141";"2386"
"30-06-2022";"Non-résident sans statut particulier";"378";"391"
"30-04-2024";"Résident";"2536";"2546"
"31-12-2023";"Non-résident CTR";"84";"34"
"30-04-2017";"Non-résident sans statut particulier";"213";"238"
"30-09-2017";"Résident";"2622";"2311"
"31-05-2016";"Résident";"1690";"2564"
"28-02-2021";"Non-résident CTR";"33";"21"
"31-01-2023";"Non-résident sans statut particulier";"626";"472"
"31-08-2019";"Résident";"2169";"2160"
"30-06-2015";"Non-résident sans statut particulier";"172";"155"
"31-03-2019";"Non-résident CTR";"13";"33"
"30-06-2016";"Non-résident sans statut particulier";"196";"227"
"31-03-2020";"Non-résident CTR";"24";"17"
"31-05-2022";"Résident";"2142";"2531"
"30-09-2020";"Non-résident CTR";"19";"19"
"31-10-2018";"Non-résident sans statut particulier";"363";"310"
"30-09-2019";"Non-résident CTR";"35";"30"
"31-08-2020";"Non-résident sans statut particulier";"347";"804"
"30-11-2018";"Non-résident CTR";"55";"25"
"28-02-2014";"Non-résident sans statut particulier";"109";"43"
"31-07-2014";"Résident";"2370";"2083"
"31-03-2020";"Non-résident sans statut particulier";"389";"401"
"28-02-2021";"Non-résident sans statut particulier";"460";"363"
"30-06-2015";"Résident";"1897";"2306"
"31-01-2016";"Non-résident CTR";"18";"7"
"30-11-2016";"Non-résident sans statut particulier";"240";"196"
"30-09-2024";"Résident";"3260";"2698"
"31-07-2021";"Non-résident sans statut particulier";"432";"422"
"31-08-2017";"Non-résident CTR";"39";"15"
"31-03-2016";"Non-résident CTR";"45";"13"
"31-10-2021";"Non-résident sans statut particulier";"524";"442"
"30-04-2014";"Résident";"1946";"2344"
"28-02-2023";"Non-résident sans statut particulier";"512";"440"
"30-06-2019";"Non-résident sans statut particulier";"333";"359"
"31-05-2020";"Résident";"1674";"1433"
"28-02-2024";"Non-résident CTR";"46";"31"
"31-08-2022";"Résident";"2355";"2428"
"30-09-2015";"Résident";"2661";"2513"
"31-10-2020";"Résident";"2708";"2409"
"30-09-2023";"Non-résident sans statut particulier";"578";"556"
"31-03-2024";"Non-résident CTR";"91";"29"
"31-10-2021";"Résident";"2469";"2448"
"31-03-2016";"Non-résident sans statut particulier";"264";"243"
"31-12-2020";"Non-résident CTR";"53";"11"
"30-11-2019";"Non-résident sans statut particulier";"445";"418"
"31-01-2020";"Non-résident CTR";"38";"18"
"31-01-2019";"Non-résident CTR";"37";"30"
"31-08-2017";"Non-résident sans statut particulier";"197";"230"
"31-08-2018";"Non-résident CTR";"33";"20"
"30-09-2016";"Non-résident CTR";"26";"11"
"30-11-2020";"Non-résident CTR";"18";"24"
"28-02-2023";"Résident";"2301";"2283"
"31-01-2024";"Résident";"3149";"2624"
"31-07-2024";"Résident";"2556";"2545"
"31-08-2024";"Non-résident sans statut particulier";"426";"435"
"30-04-2015";"Non-résident sans statut particulier";"184";"124"
"31-05-2020";"Non-résident sans statut particulier";"226";"315"
"28-02-2015";"Résident";"1957";"2022"
"31-01-2019";"Non-résident sans statut particulier";"715";"390"
"31-10-2016";"Non-résident CTR";"39";"11"
"30-09-2024";"Non-résident CTR";"61";"49"
"31-05-2021";"Non-résident CTR";"69";"23"
"31-03-2021";"Résident";"2295";"2594"
"30-09-2015";"Non-résident sans statut particulier";"215";"169"
"30-06-2019";"Non-résident CTR";"61";"20"
"30-11-2019";"Résident";"2433";"2204"
"30-06-2018";"Non-résident sans statut particulier";"186";"240"
"31-08-2016";"Résident";"2129";"2210"
"30-04-2015";"Non-résident CTR";"23";"5"
"31-01-2018";"Résident";"2582";"2474"
"31-03-2017";"Non-résident CTR";"47";"13"
"31-10-2022";"Non-résident CTR";"32";"35"
"30-06-2018";"Résident";"1723";"2110"
"30-04-2014";"Non-résident sans statut particulier";"96";"87"
"30-04-2022";"Non-résident sans statut particulier";"342";"508"
"31-03-2018";"Résident";"2086";"2411"
"31-05-2024";"Non-résident sans statut particulier";"556";"546"
"31-03-2025";"Résident";"2718";"3290"
"31-10-2024";"Résident";"3209";"2631"
"31-05-2023";"Non-résident sans statut particulier";"428";"428"
"31-10-2017";"Résident";"2526";"2312"
"31-07-2022";"Non-résident sans statut particulier";"371";"409"
"31-10-2019";"Non-résident CTR";"18";"19"
"31-12-2015";"Résident";"2124";"1901"
"30-04-2025";"Non-résident CTR";"43";"47"
"31-10-2023";"Résident";"3182";"2501"
"31-08-2021";"Non-résident sans statut particulier";"493";"414"
"30-09-2018";"Non-résident sans statut particulier";"254";"221"
"30-04-2018";"Non-résident sans statut particulier";"205";"255"
"31-12-2016";"Non-résident sans statut particulier";"204";"198"
"30-06-2017";"Non-résident CTR";"24";"13"
"30-11-2024";"Non-résident CTR";"45";"36"
"30-11-2023";"Non-résident sans statut particulier";"611";"527"
"31-12-2022";"Non-résident sans statut particulier";"390";"423"
"28-02-2020";"Résident";"2193";"2531"
"31-05-2017";"Non-résident sans statut particulier";"248";"284"
"31-08-2014";"Non-résident CTR";"51";"3"
"30-11-2024";"Non-résident sans statut particulier";"622";"549"
"31-05-2017";"Non-résident CTR";"60";"23"
"31-12-2016";"Non-résident CTR";"34";"18"
"31-07-2022";"Non-résident CTR";"33";"22"
"31-12-2022";"Résident";"2186";"2079"
"31-07-2020";"Résident";"2228";"2308"
"31-08-2014";"Non-résident sans statut particulier";"83";"69"
"31-07-2015";"Non-résident CTR";"29";"5"
"30-06-2023";"Non-résident CTR";"74";"22"
"31-05-2024";"Non-résident CTR";"91";"45"
"30-06-2014";"Résident";"1792";"2196"
"31-07-2016";"Non-résident CTR";"32";"15"
"30-11-2017";"Non-résident sans statut particulier";"295";"260"
"28-02-2020";"Non-résident sans statut particulier";"522";"578"
"28-02-2019";"Résident";"2519";"2517"
"31-01-2015";"Non-résident sans statut particulier";"134";"90"
"30-09-2018";"Résident";"2490";"2591"
"30-06-2024";"Non-résident CTR";"39";"34"
"31-01-2022";"Non-résident sans statut particulier";"516";"496"
"31-01-2015";"Résident";"2553";"2113"
"30-04-2025";"Non-résident sans statut particulier";"689";"681"
"30-06-2021";"Résident";"1969";"2677"
"31-08-2021";"Non-résident CTR";"35";"27"
"30-11-2017";"Non-résident CTR";"44";"17"
"30-04-2018";"Non-résident CTR";"18";"18"
"31-01-2022";"Résident";"2358";"2772"
"31-07-2015";"Non-résident sans statut particulier";"160";"152"
"31-05-2023";"Résident";"2236";"2310"
"31-12-2015";"Non-résident sans statut particulier";"157";"138"
"28-02-2018";"Non-résident sans statut particulier";"264";"234"
"31-07-2024";"Non-résident sans statut particulier";"516";"541"
"31-07-2023";"Non-résident sans statut particulier";"476";"342"
"28-02-2014";"Résident";"2060";"2081"
"30-11-2016";"Non-résident CTR";"11";"11"
"30-09-2024";"Non-résident sans statut particulier";"688";"426"
"31-01-2020";"Résident";"2882";"2481"
"31-03-2017";"Non-résident sans statut particulier";"297";"307"
"30-09-2020";"Non-résident sans statut particulier";"564";"834"
"31-10-2018";"Résident";"2736";"2270"
"30-04-2020";"Non-résident CTR";"24";"10"
"31-10-2014";"Non-résident CTR";"37";"8"
"30-11-2015";"Non-résident CTR";"32";"4"
"31-07-2021";"Non-résident CTR";"54";"30"
"31-01-2017";"Non-résident sans statut particulier";"300";"256"
"31-08-2024";"Résident";"2453";"2520"
"31-12-2014";"Non-résident CTR";"42";"2"
"31-12-2017";"Non-résident sans statut particulier";"212";"226"
"30-06-2022";"Non-résident CTR";"70";"23"
"31-08-2022";"Non-résident sans statut particulier";"445";"451"
"31-01-2014";"Non-résident CTR";"59";"6"
"30-06-2018";"Non-résident CTR";"47";"17"
"31-01-2016";"Résident";"2499";"2360"
"30-11-2018";"Non-résident sans statut particulier";"490";"261"
"31-10-2022";"Résident";"2797";"2378"
"31-05-2022";"Non-résident CTR";"42";"25"
"30-09-2015";"Non-résident CTR";"29";"9"
"31-08-2020";"Non-résident CTR";"23";"27"
"30-11-2022";"Non-résident sans statut particulier";"496";"421"
"31-05-2016";"Non-résident sans statut particulier";"217";"219"
"31-08-2019";"Non-résident CTR";"28";"30"
"30-11-2020";"Résident";"2460";"2177"
"28-02-2023";"Non-résident CTR";"33";"40"
"31-05-2015";"Non-résident sans statut particulier";"170";"164"
"30-09-2019";"Résident";"3111";"2720"
"31-08-2016";"Non-résident CTR";"30";"16"
"31-03-2022";"Non-résident CTR";"40";"36"
"31-08-2015";"Non-résident CTR";"36";"4"
"31-03-2017";"Résident";"2017";"2432"
"31-01-2021";"Non-résident sans statut particulier";"486";"407"
"31-01-2020";"Non-résident sans statut particulier";"615";"529"
"31-12-2017";"Résident";"2000";"1816"
"30-09-2020";"Résident";"2991";"2928"
"31-01-2017";"Résident";"2618";"2395"
"28-02-2018";"Résident";"1997";"2138"
"30-04-2023";"Non-résident CTR";"39";"33"
"30-09-2023";"Résident";"3142";"2542"
"31-07-2017";"Non-résident CTR";"58";"20"
"30-04-2024";"Non-résident CTR";"55";"22"
"31-12-2021";"Non-résident sans statut particulier";"405";"536"
"31-07-2020";"Non-résident CTR";"16";"22"
"31-12-2020";"Résident";"2207";"1985"
"31-12-2021";"Non-résident CTR";"67";"20"
"31-10-2017";"Non-résident CTR";"22";"11"
"30-06-2015";"Non-résident CTR";"16";"3"
"31-08-2016";"Non-résident sans statut particulier";"197";"194"
"31-08-2022";"Non-résident CTR";"41";"20"
"31-08-2017";"Résident";"2034";"2090"
"31-12-2016";"Résident";"2007";"1897"
"31-10-2016";"Non-résident sans statut particulier";"245";"214"
"31-12-2020";"Non-résident sans statut particulier";"410";"324"
"30-04-2015";"Résident";"1770";"2119"
"31-12-2024";"Non-résident sans statut particulier";"563";"667"
"31-08-2021";"Résident";"2077";"2739"
"30-11-2015";"Non-résident sans statut particulier";"169";"156"
"31-10-2016";"Résident";"2384";"2186"
"31-01-2024";"Non-résident CTR";"49";"37"
"31-01-2019";"Résident";"3227";"2568"
"31-01-2018";"Non-résident sans statut particulier";"328";"284"
"31-10-2020";"Non-résident sans statut particulier";"421";"455"
"30-06-2014";"Non-résident sans statut particulier";"76";"75"
"31-03-2020";"Résident";"3142";"2138"
"31-01-2014";"Non-résident sans statut particulier";"156";"35"
"31-03-2025";"Non-résident CTR";"103";"47"
"31-10-2024";"Non-résident sans statut particulier";"652";"616"
"31-03-2024";"Non-résident sans statut particulier";"631";"586"
"31-01-2015";"Non-résident CTR";"27";"3"
"31-01-2023";"Résident";"2897";"2572"
"30-06-2019";"Résident";"1943";"2607"
"30-04-2023";"Non-résident sans statut particulier";"410";"496"
"28-02-2019";"Non-résident sans statut particulier";"573";"367"
"30-06-2023";"Résident";"2340";"2202"
"31-10-2021";"Non-résident CTR";"38";"16"
"31-03-2024";"Résident";"2731";"2809"
"30-06-2023";"Non-résident sans statut particulier";"410";"483"
"31-05-2016";"Non-résident CTR";"22";"16"
"31-12-2024";"Résident";"2328";"2290"
"31-07-2024";"Non-résident CTR";"69";"31"
"30-04-2019";"Non-résident sans statut particulier";"495";"437"
"31-03-2021";"Non-résident CTR";"58";"24"
"31-05-2020";"Non-résident CTR";"11";"15"
"28-02-2015";"Non-résident sans statut particulier";"115";"101"
"31-03-2016";"Résident";"2042";"2559"
"30-04-2019";"Résident";"2199";"2506"
"31-05-2024";"Résident";"2297";"2499"
"31-07-2015";"Résident";"2183";"1987"
"28-02-2022";"Non-résident sans statut particulier";"390";"598"
"31-07-2019";"Résident";"2599";"2357"
"30-09-2014";"Non-résident sans statut particulier";"106";"88"
"30-09-2016";"Résident";"2883";"2318"
"31-10-2023";"Non-résident CTR";"66";"49"
"31-10-2020";"Non-résident CTR";"35";"15"
"31-10-2024";"Non-résident CTR";"82";"26"
"30-04-2014";"Non-résident CTR";"34";"5"
"31-01-2025";"Non-résident sans statut particulier";"781";"583"
"31-03-2018";"Non-résident CTR";"50";"19"
"31-03-2021";"Non-résident sans statut particulier";"460";"449"
"31-01-2024";"Non-résident sans statut particulier";"734";"541"
"31-01-2018";"Non-résident CTR";"35";"32"
"30-06-2021";"Non-résident sans statut particulier";"470";"467"
"28-02-2020";"Non-résident CTR";"23";"34"
"30-04-2022";"Résident";"2092";"2309"
"31-08-2014";"Résident";"1944";"2036"
"30-11-2024";"Résident";"2663";"2416"
"31-10-2017";"Non-résident sans statut particulier";"263";"251"
"30-09-2021";"Non-résident CTR";"18";"32"
"31-05-2021";"Résident";"1883";"2742"
"28-02-2019";"Non-résident CTR";"41";"28"
"31-08-2018";"Résident";"2100";"1980"
"30-06-2014";"Non-résident CTR";"27";"4"
"31-08-2023";"Non-résident CTR";"87";"26"
"30-11-2014";"Non-résident sans statut particulier";"112";"87"
"30-06-2017";"Non-résident sans statut particulier";"226";"195"
"28-02-2024";"Résident";"2555";"2509"
"30-11-2014";"Résident";"2218";"2080"
"30-11-2023";"Non-résident CTR";"47";"27"
"30-11-2019";"Non-résident CTR";"41";"21"
"30-04-2018";"Résident";"1743";"2397"
"31-07-2019";"Non-résident sans statut particulier";"434";"391"
"31-08-2018";"Non-résident sans statut particulier";"189";"201"
"28-02-2015";"Non-résident CTR";"24";"6"
"31-12-2018";"Non-résident CTR";"38";"28"
"31-07-2020";"Non-résident sans statut particulier";"335";"284"
"31-12-2022";"Non-résident CTR";"31";"26"
"28-02-2016";"Non-résident CTR";"27";"12"
"30-11-2023";"Résident";"2811";"2300"
"31-05-2019";"Non-résident sans statut particulier";"440";"391"
"31-07-2016";"Résident";"2067";"2060"
"31-03-2014";"Non-résident CTR";"30";"2"
"31-05-2017";"Résident";"1867";"2638"
"31-01-2022";"Non-résident CTR";"43";"28"
"31-03-2025";"Non-résident sans statut particulier";"738";"757"
"31-07-2016";"Non-résident sans statut particulier";"181";"211"
"30-06-2020";"Non-résident CTR";"14";"18"
"31-03-2015";"Non-résident sans statut particulier";"123";"129"
"30-04-2016";"Non-résident CTR";"7";"13"
"31-12-2018";"Non-résident sans statut particulier";"371";"303"
"31-08-2023";"Résident";"2510";"2411"
"31-05-2019";"Résident";"2071";"2478"
"31-03-2023";"Non-résident CTR";"80";"27"
"30-11-2021";"Non-résident CTR";"30";"25"
"31-03-2022";"Non-résident sans statut particulier";"422";"538"
"30-04-2022";"Non-résident CTR";"82";"16"
"31-05-2014";"Non-résident sans statut particulier";"102";"82"
"30-09-2021";"Résident";"2803";"2877"
"31-07-2018";"Non-résident CTR";"17";"32"
"31-10-2014";"Résident";"2614";"2090"
"30-06-2017";"Résident";"1720";"2115"
"31-01-2025";"Résident";"3119";"2822"
"31-12-2019";"Non-résident sans statut particulier";"320";"358"
